Question,Options,Ground truth,text-davinci-003_Answer,davinci_score,Unprompted_Falcon_prediction,Falcon_Score
73. Provisions relating to GST are inserted in the Constitution by,"['a) The Constitution (one hundred and first) Act 2016', 'b) The Constitution (one hundred and second) Act 2016', 'c) The Constitution (eighty fourth) Act 2016', 'd) The Constitution (seventy seven) Act 2016']",a,Answer: a) The Constitution (one hundred and first) Act 2016,1,d) The Constitution (seventy seven) Act 2016,0
"74. A is accused of waging war against the Government of India by taking part in an armed insurrection in which property is destroyed, troops are attacked, and goals are broken open. The occurrence of these facts is relevant, as forming part of the general transaction, though A may not have been present at all of them. – under which section of the India Evidence Act.","['a) Section 12', 'b) Section 6', 'c) Section 3', 'd) Section 5']",b,Answer: d) Section 5,0,Answer: 'c) Section 3',0
75. Section 110 of the Evidence Act deals with,"['a) Documentary Evidence', 'b) Exclusion of Oral Evidence', 'c) Burden of proof as to ownership', 'd) Proof of guilt.']",c,a) Documentary Evidence,0,d) Proof of guilt,0
76. Section 113 (A) of the Evidence Act deals with,"['a) Presumption as to abetment of murder', 'b) Presumption as to rape and abetment of suicide by a woman', 'c) Presumption as to abetment of kidnap of a girl', 'd) Presumption as to abetment of suicide by a married woman']",d,a) Presumption as to abetment of murder,0,d) Presumption as to abetment of suicide by a married woman,1
77. In which of the following case the offence of sedition was in issue,"['a) Queen Empress Vs Bal Gangadhar Tilak', 'b) Niharendu Dutt Mazumdar Vs Emperor', 'c) Kedar Nath singh Vs State of Bihar', 'd) All of the above']",d,d) All of the above,1,a) Queen Empress Vs Bal Gangadhar Tilak,0
"78. Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs. – is an offence under","['a) Section 295', 'b) Section 295A', 'c) Section 265A', 'd) Section 276']",b,Answer b) Section 295A,1,d) Section 276,0
79. Under Section 29 of Cr.P.C. The Court of a Chief Judicial Magistrate may pass any sentence authorized by law except,"['a) A sentence of death', 'b) Imprisonment for life', 'c) Imprisonment for a term exceeding seven years.', 'd) All of the above']",d,d) All of the above,1,a) A sentence of death,0
80. Provision regarding filing of suits by an alien under the Code of Civil procedure is dealt under,"['a) Section 21A', 'b) Section 15', 'c) Section 21B', 'd) Section 83']",d,a) Section 21A,0,a) Section 21A,0
"81. An order issued by court under Civil Procedure Code 1908 as per order XXI, rule 46, for recovery of amount due to judgment creditor – is known as","['a) IT Order', 'b) Garnishee Order', 'c) Decree Holder order', 'd) Bank Order']",b,b) Garnishee Order,1,a) IT Order,0
"82. Section 88 read with Order XXXV of the Code of Civil Procedure, 1908 deals with","['a) Interpleader suit', 'b) Interlocutory Order', 'c) Restitution Order', 'd) Attachment Order']",a,a) Interpleader suit,1,d) Attachment Order,0
83. Vis major means,"['a) Act of God', 'b) Act of Individual', 'c) Act of other party', 'd) Act of plaintiff']",a,Answer a) Act of God,1,a) Act of God,1
84. According to Classical doctrine of Act of State in law of Torts means,"['a) an act of the sovereign power of a country, that cannot be challenged, controlled or interfered with by municipal courts', 'b) an act of the Judiciary of a country, that cannot be challenged, controlled or interfered with by municipal courts', 'c) an act of the sovereign power of a country, that can be challenged, controlled or interfered with by municipal courts', 'd) None of the above']",a,"a) an act of the sovereign power of a country, that cannot be challenged, controlled or interfered with by municipal courts",1,"a) an act of the sovereign power of a country, that cannot be challenged, controlled or interfered with by municipal courts",1
"85. In Torts, all persons who aid, or counsel, or direct or join in the committal of a wrongful act, are known as","['a) Abettors', 'b) Joint tortfeasors.', 'c) Tort holders', 'd) Tort holders in common']",b,Answer: b) Joint tortfeasors.,1,a) Abettors,0
86. M.C. Mehta Vs Union of India 1986 Shriram food and Fertilisers case relates to,"['a) Olieum Gas leak', 'b) Ganga water cleaning', 'c) Child labour', 'd) Bonded labour']",a,a) Olieum Gas leak,1,a) Olieum Gas leak,1
87. A. K.Kraipak Vs Union of India relates to,"['a) Likelihood of Bias', 'b) Delegated Legislation', 'c) Administrative Discretion', 'd) Notice']",a,b) Delegated Legislation,0,d) Notice,0
88. Judicial control of Delegated Legislation may be exercised on the ground of,"['a) Doctrine of Ultravires', 'b) Malafides', 'c) Exclusion of Judicial Review', 'd) All of the above']",d,d) All of the above,,a) Doctrine of Ultravires,0
89. The principle of Res Judicata is dealt under Section ---- of CPC,"['a) 9', 'b) 10', 'c) 11', 'd) 12']",c,Answer d) 12,0,a) 9,0
90. Section 14 of the C.P.C. deals with,"['a) Presumption as to decisions of tribunals', 'b) Presumption as to foreign judgments', 'c) Presumption as to judgments of the lower court', 'd) Presumption as to judgments of High Court']",b,a) Presumption as to decisions of tribunals,0,d) Presumption as to judgments of High Court,0
"91. A, residing in Delhi, publishes in Kolkata statements defamatory of B. B may sue A","['a) Only in Delhi', 'b) Only in Kolkata', 'c) in both the place of Delhi and Kolkata', 'd) either in Kolkata or in Delhi.']",d,Answer: d) either in Kolkata or in Delhi.,1,d) either in Kolkata or in Delhi.,1
"92. ""Mere illegality of the strike does not per se spell unjustifiability"" - Justice Krishna Iyer . Name the case.","['a) Chandramalai Estate Vs Its workmen', 'b) Associated Cement Ltd., Vs Their workmen', 'c) Gujarat Steel Tubes Vs Gujarat Steel Tubes Mazdoor Sabha', 'd) Indian General Navigation of Railway Co. Ltd., Vs Their workmen']",c,"Answer d) Indian General Navigation of Railway Co. Ltd., Vs Their workmen",0,a) Chandramalai Estate Vs Its workmen,0
93. A workman aggrieved by the order of …………………………………. may directly make an application to the labour court or tribunal for adjudication of the dispute and the court/tribunal is empowered to adjudicate such dispute as it had been referred to it by the appropriate government,"['a) Dismissal, discharge and retrenchment', 'b) Dismissal , discharge, retrenchment or otherwise termination of service', 'c) Discharge simpliciter exclusively', 'd) Dismissal and retrenchment exclusively']",b,"Answer: b) Dismissal , discharge, retrenchment or otherwise termination of service",,"Options ['a) Dismissal, discharge and retrenchment', 'b) Dismissal, discharge, retrenchment or otherwise termination of service', 'c) Discharge simpliciter exclusively', 'd) Dismissal and retrenchment exclusively'] : 'd) Dismissal and retrenchment exclusively'",0
94. The national consumer dispute redressal commission was constituted in the year,"['a) 1988', 'b) 1998', 'c) 1999', 'd) 1997']",a,Answer d) 1997,0,a) 1988,1
"95. What is the limitation period applicable to the three forums in entertaining a complaint under The Consumer Protection Act,1986","['a) 3 years from the date on which the cause of action has arisen', 'b) 5 years from the date on which the cause of action has arisen', 'c) 4 years from the date on which the cause of action has arisen', 'd) 2 years from the date on which the cause of action has arisen']",d,Answer: a) 3 years from the date on which the cause of action has arisen,0,"Options ['a) 3 years from the date on which the cause of action has arisen', 'b) 5 years from the date on which the cause of action has arisen', 'c) 4 years from the date on which the cause of action has arisen', 'd) 2 years from the date on which the cause of action has arisen']",0
"96. Under Section 82 of the Indian Penal Code, nothing is an offence which is done by a child under the age of.","['a) 14 years', 'b) 7 years', 'c) 18 years', 'd) 21 years']",b,a) 14 years,0,a) 14 years,0
97. R. V. Dudley & Stephen stands for the principle that,"['a) Killing an innocent life to save his own is not a defence and necessity cannot be pleaded as a defence against murder', 'b) Necessity can be pleaded as a defence against murder, killing an innocent life to save his own may become inevitable', 'c) Killing out of mercy is a defence and necessity cannot be pleaded as a defence against murder.', 'd) None of the above']",a,a) Killing an innocent life to save his own is not a defence and necessity cannot be pleaded as a defence against murder,1,"Options ['a) Killing an innocent life to save his own is not a defence and necessity cannot be pleaded as a defence against murder', 'b) Necessity can be pleaded as a defence against murder, killing an innocent life to save his own may become inevitable', 'c) Killing out of mercy is a defence and necessity cannot be pleaded as a defence against murder.', 'd) None of the above']",0
"98. On and from the commencement of the Hindu Succession (Amendment) Act, 2005 , in a Joint Hindu family governed by the Mitakshara law, conferring on daughter coparcenary status by substituting new section for","['a) Section 6', 'b) section 10', 'c) Section 11', 'd) Section 13']",a,Answer: a) Section 6,1,a) Section 6,1
99. Section 5 of Hindu Marriage Act relates to,"['a) Void marriages', 'b) Voidable marriages', 'c) Ceremonies of Hindu marriage', 'd) Conditions of Hindu marriage']",d,a) Void marriages,0,a) Void marriages,0
100. A marriage between a girl of 22 years marries her maternal uncles son of 23 years in accordance with the Special Marriage Act. Such marriage is,"['a) Valid', 'b) Voidable', 'c) Void', 'd) Valid only in north India', '']",c,a) Valid,0,a) Valid,0
,,,,Score = 54/100,,Score=24/100
