Question,Options,Unprompted_prediction,Ground truth,Score
87. A. K.Kraipak Vs Union of India relates to,"['a) Likelihood of Bias', 'b) Delegated Legislation', 'c) Administrative Discretion', 'd) Notice']",d) Notice,a,0
88. Judicial control of Delegated Legislation may be exercised on the ground of,"['a) Doctrine of Ultravires', 'b) Malafides', 'c) Exclusion of Judicial Review', 'd) All of the above']",a) Doctrine of Ultravires,d,0
89. The principle of Res Judicata is dealt under Section ---- of CPC,"['a) 9', 'b) 10', 'c) 11', 'd) 12']",a) 9,c,0
90. Section 14 of the C.P.C. deals with,"['a) Presumption as to decisions of tribunals', 'b) Presumption as to foreign judgments', 'c) Presumption as to judgments of the lower court', 'd) Presumption as to judgments of High Court']",d) Presumption as to judgments of High Court,b,0
"91. A, residing in Delhi, publishes in Kolkata statements defamatory of B. B may sue A","['a) Only in Delhi', 'b) Only in Kolkata', 'c) in both the place of Delhi and Kolkata', 'd) either in Kolkata or in Delhi.']",d) either in Kolkata or in Delhi.,d,1
"92. ""Mere illegality of the strike does not per se spell unjustifiability"" - Justice Krishna Iyer . Name the case.","['a) Chandramalai Estate Vs Its workmen', 'b) Associated Cement Ltd., Vs Their workmen', 'c) Gujarat Steel Tubes Vs Gujarat Steel Tubes Mazdoor Sabha', 'd) Indian General Navigation of Railway Co. Ltd., Vs Their workmen']",a) Chandramalai Estate Vs Its workmen,c,0
93. A workman aggrieved by the order of …………………………………. may directly make an application to the labour court or tribunal for adjudication of the dispute and the court/tribunal is empowered to adjudicate such dispute as it had been referred to it by the appropriate government,"['a) Dismissal, discharge and retrenchment', 'b) Dismissal , discharge, retrenchment or otherwise termination of service', 'c) Discharge simpliciter exclusively', 'd) Dismissal and retrenchment exclusively']","Options ['a) Dismissal, discharge and retrenchment', 'b) Dismissal, discharge, retrenchment or otherwise termination of service', 'c) Discharge simpliciter exclusively', 'd) Dismissal and retrenchment exclusively'] : 'd) Dismissal and retrenchment exclusively'",b,0
94. The national consumer dispute redressal commission was constituted in the year,"['a) 1988', 'b) 1998', 'c) 1999', 'd) 1997']",a) 1988,a,1
"95. What is the limitation period applicable to the three forums in entertaining a complaint under The Consumer Protection Act,1986","['a) 3 years from the date on which the cause of action has arisen', 'b) 5 years from the date on which the cause of action has arisen', 'c) 4 years from the date on which the cause of action has arisen', 'd) 2 years from the date on which the cause of action has arisen']","Options ['a) 3 years from the date on which the cause of action has arisen', 'b) 5 years from the date on which the cause of action has arisen', 'c) 4 years from the date on which the cause of action has arisen', 'd) 2 years from the date on which the cause of action has arisen']",d,0
"96. Under Section 82 of the Indian Penal Code, nothing is an offence which is done by a child under the age of.","['a) 14 years', 'b) 7 years', 'c) 18 years', 'd) 21 years']",a) 14 years,b,0
97. R. V. Dudley & Stephen stands for the principle that,"['a) Killing an innocent life to save his own is not a defence and necessity cannot be pleaded as a defence against murder', 'b) Necessity can be pleaded as a defence against murder, killing an innocent life to save his own may become inevitable', 'c) Killing out of mercy is a defence and necessity cannot be pleaded as a defence against murder.', 'd) None of the above']","Options ['a) Killing an innocent life to save his own is not a defence and necessity cannot be pleaded as a defence against murder', 'b) Necessity can be pleaded as a defence against murder, killing an innocent life to save his own may become inevitable', 'c) Killing out of mercy is a defence and necessity cannot be pleaded as a defence against murder.', 'd) None of the above']",a,0
"98. On and from the commencement of the Hindu Succession (Amendment) Act, 2005 , in a Joint Hindu family governed by the Mitakshara law, conferring on daughter coparcenary status by substituting new section for","['a) Section 6', 'b) section 10', 'c) Section 11', 'd) Section 13']",a) Section 6,a,1
99. Section 5 of Hindu Marriage Act relates to,"['a) Void marriages', 'b) Voidable marriages', 'c) Ceremonies of Hindu marriage', 'd) Conditions of Hindu marriage']",a) Void marriages,d,0
100. A marriage between a girl of 22 years marries her maternal uncles son of 23 years in accordance with the Special Marriage Act. Such marriage is,"['a) Valid', 'b) Voidable', 'c) Void', 'd) Valid only in north India', '']",a) Valid,c,0
,,,,Accuracy = 24/100
