Question,Options,Unprompted_prediction,prompted_output_t1,prompted_output_t2
"89. The ""Objective Resolution"" adopted by the constituent assembly on January 22 , 1947 was drafted by ","['a) Jawaharlal Nehru ', 'b) Dr. B.R. Ambedkar ', 'c) Dr. Rajendra Prashad ', 'd) B.N. Rao ']",a) Jawaharlal Nehru,Option 'd) B.N. Rao'.,Option ['a) Jawaharlal Nehru ']
90. Right to the property was eliminated from the list of Fundamental Rights during the tenure of ,"['a) Indira Gandhi ', 'b) Charan Singh ', 'c) Rajiv Gandhi ', 'd) Morarji Desai']",a) Indira Gandhi,Option 'c) Rajiv Gandhi'.,Option ['b) Charan Singh ']
"91. When the accused states, ""I will produce the share which I gave received in such and such robbery"" which of the following are not admissible with regard to Section 25, Indian Evidence Act? I. An admission that there was a robbery II. An admission that the accused took part in it III. An admission that he got part of the property IV. A statement as to where the property is","['a) I, II and III', 'b) III and IV', 'c) II, III and IV', 'd) All of them']","Options ['a) I, II and III', 'b) III and IV', 'c) II, III and IV', 'd) All of them']: 'c) II, III and IV'",Option 'd) All of them'.,Option 'd) All of them'.
92. The maximum limit of the members of the state bar council:,"['a) 15', 'b) 20', 'c) 25', 'd) None.']",a) 15,Option 'c) 25'.,Option 'b) 20'.
93. Specific Relief Act 1963 contains,"['a) 6 chapters and 40 Sections', 'b) 7 chapters and 42 Sections', 'c) 8 chapters and 43 Sections', 'd) 8 chapters and 44 Sections']",[a) 6 chapters and 40 Sections],Option 'b) 7 chapters and 42 Sections'.,Option 'd) 8 chapters and 44 Sections'.
94. What is the Period of Limitation for expeditious disposal of Suit under Specific Relief Act 1963:,"['a) 6 month', 'b) 10 month', 'c) 12 month', 'd) 18 month']",a) 6 month,Option 'b) 10 month'.,Option 'b) 10 month'.
95. A Chief Judicial Magistrate may pass a sentence of imprisonment,"['a) Not exceeding seven years', 'b) Exceeding seven years', 'c) For life', 'd) None of the above']",a) Not exceeding seven years,Option 'b) Exceeding seven years'.,Option ['a) Not exceeding seven years'].
"96. Under Civil Procedure Code, 1908 ""Foreign Court"" means ","['a) A court situated outside India ', 'b) A court situated outside India and not established under the authority of Government of India ', 'c) A court situated in India, applying foreign law ', 'd) All of the above']","Options ['a) A court situated outside India ', 'b) A court situated outside India and not established under the authority of Government of India ', 'c) A court situated in India, applying foreign law ', 'd) All of the above']",Option 'd) All of the above'.,Option ['d) All of the above']
97. Misuse of mechanism of PILs means ,"['a) filing PILs for protection of private interest ', 'b) filing PILs for oblique motive ', 'c) filing PILs only for publicity ', 'd) All of the above']",d) All of the above,Option ['a) filing PILs for protection of private interest '].,Option ['a) filing PILs for protection of private interest ']
98. What is meant by procedural ultra-vires? ,"['a) It is the non-observance of the procedural norms by the rule-making authority ', 'b) It may make the rule ultra vires due to non-observance of rule-making authority and hence become void ', 'c) It means the lacuna in the procedure of law ', 'd) (a) and (b)']","Options ['a) It is the non-observance of the procedural norms by the rule-making authority ', 'b) It may make the rule ultra vires due to non-observance of rule-making authority and hence become void ', 'c) It means the lacuna in the procedure of law ', 'd) (a) and (b)']",Option ['a) It is the non-observance of the procedural norms by the rule-making authority '].,Option ['a) It is the non-observance of the procedural norms by the rule-making authority ']
"99. The ground of ""error of law apparent on the face of the record"" is connected with which of the writ? ","['a) Quo-warranto ', 'b) Mandamus ', 'c) Habeas Corpus ', 'd) Certiorari']",a) Quo-warranto,Option 'c) Habeas Corpus'.,Option 'b) Mandamus'.
100. Under Civil Procedure Code find the incorrect match: ,"['a) Section 5............ Revenue Court ', 'b) Section 7............ Provincial Small Causes Court ', 'c) Section 9............ Pecuniary Jurisdiction of Courts ', 'd) Section 8............ Presidency Small Cause Courts', '']",d) Section 8............ Presidency Small Cause Courts,Option 'd) Section 8............ Presidency Small Cause Courts'.,Option ['a) Section 5............ Revenue Court ']
