Question,Answer,Option,Predicted_ans,Explanation
"81. Under Section 18 of the Indian Evidence Act, the admission of which of the following person is not admissible against the other",c,"['a) One of the plaintiffs', 'b) One of the defendants', 'c) Agents of the parties', 'd) Statement of the third party']",d) Statement of the third party,"Under Section 18 of the Indian Evidence Act, admissions of a party to the proceedings or his agent are relevant, whereas a third party's statement or admission is not relevant or admissible against any other party."
82. A sells a field to B. There is a right of way over the field of which A has direct personal knowledge but which he conceals from B.,b,"['a) B has the right to rescind the contract', 'b) B cannot rescind the contract', 'c) A has the right to rescind the contract', 'd) A is not legally liable']",a) B has the right to rescind the contract,"If A sold a field to B, knowing there is a right of way over the field and concealed this fact, B has a right to rescind the contract as per the Indian Contract Act, 1872. It would be a case of Fraud (Section 17) where A intentionally concealed the material fact."
83. This section was enacted to meet the cases of dowry deaths. It is,c,"['a) Section 366A of IPC', 'b) Section 477A of IPC', 'c) Section 498A of IPC', 'd) Section 489A of IPC']",c) Section 498A of IPC,Section 498A of the Indian Penal Code was specifically enacted to combat the menace of dowry deaths and cruelty to a woman by her husband or his relatives.
84. What is the maximum number of witness which can be produced in a case,d,"['a) 5', 'b) 10', 'c) 15', 'd) No limit']",d) No limit,"According to the Indian Evidence Act, 1872, there is no specified limit on the number of witnesses that can be produced in a case. The number of witnesses depends on the complexity of the case and the amount of evidence needed to establish the facts of the matter."
"85. Under O. 33 , an indigent is allowed to prosecute any suit , provided he satisfied certain conditions , which of the following is not such a condition ?",b,"['a) He is not possessed of sufficient means to enable him to pay the fees prescribed fr plaint in such suit', 'b) He is not entitled to property worth Rs.1000 ,', 'c) He has no sufficient means for his livelihood', 'd) He may present the application for permission to sue as an indigent either himself or the an authorized agent']",c) He has no sufficient means for his livelihood,This is not a condition for granting permission to sue as an indigent person under Order 33 of the Civil Procedure Code. An indigent person is one who is not possessed of sufficient means to pay the requisite court fee.
86. A decree can be transferred for execution to another court :,b,"['a) if the judgment debtor actually and voluntarily resides or carries on business or personal works for gain , within the local limits of jurisdiction of such court', 'b) if the judgment debtor has property sufficient to satisfy the decree within the limits of that court .', 'c) If the decree directs the sale or delivery of immoveable property situated outside the local limits of jurisdiction of the court which passed it .', 'd) All of the above']",d) All of the above,"As per the Code of Civil Procedure, 1908, a decree can be transferred for execution to another court under any of the conditions mentioned in the options."
"87. Motor Vehicles Act 1939, came into force in ?",b,"['a) 1939', 'b) 1940', 'c) 1941', 'd) 1942']",b) 1940,"The Motor Vehicles Act, 1939 came into force on 1st April 1940. It was subsequently replaced by the Motor Vehicles Act, 1988."
"88. Recently, in which case the Kerala High Court held that a University Grant Commission criterion which allowed certain relaxation , marks to reserved categories as violation Article 16 ( 1 ) of the Constitution",d,"['a) Nair Service Society Vs UGC ; WP ( C ) No.529 of 2016 ( W )', 'b) CBSE Vs UGC ; WP ( C ) No. 5190 of 2016 ( W )', 'c) UGC Vs State Of Kerala; W.P( C ) No. 5190 2016 ( W ) 2016 ( W )', 'd) UGC Vs Secretary of State; W.P( C ) No.5195 2016(W)']",a) Nair Service Society Vs UGC ; WP ( C ) No.529 of 2016 ( W ),"In the case of Nair Service Society Vs UGC, the Kerala High Court held that a University Grants Commission criterion, which allowed certain relaxations, marks to reserved categories as violation Article 16 ( 1 ) of the Constitution."
89. Which of the following sections enables the court to cancel the bond and bail bond,a,"['a) 446(a)', 'b) 446', 'c) 448', 'd) 450']",b) 446,Section 446 of the Code of Criminal Procedure enables the court to cancel a bond or bail bond. It details the process when a bond for appearance is forfeited and the procedure for the recovery of the penalty.
90. which of the following belong to the category of direct tax,c,"['a) Goods and Services Tax', 'b) Excise duty and customs duty', 'c) Income tax and gift tax', 'd) All of the above']",c) Income tax and gift tax,"Direct taxes are those that are levied directly on individuals or corporations and are paid directly to the government by the ones upon whom it is imposed. Income tax and gift tax fall under this category. Indirect taxes such as GST, excise duty, and customs duty are taxes that are levied on goods or services and are paid indirectly to the government via intermediaries."
"91. When a bill is passed by the Parliament and the President, what is the status of the same?",b,"['a) Bill approved', 'b) Law', 'c) Bill exercised for administration', 'd) Government procedures']",b) Law,"When a bill is passed by both houses of the Parliament and receives Presidential assent, it becomes law, enforceable in the territory of India."
92. The maxim . 'audi alterm partem' denotes,b,"['a) No one shall be judge of his own cause', 'b) no one shall be condemned unheard', 'c) Rights are better than duties', 'd) None of the above']",b) no one shall be condemned unheard,The maxim 'audi alterm partem' is a fundamental principle of natural justice which means 'hear the other side' or 'no one shall be condemned unheard.' It ensures that no person is denied the opportunity to present their case.
93. Which of the following Section deals with search warrant,a,"['a) 93', 'b) 94', 'c) 95', 'd) 96']",a) 93,Section 93 of the Code of Criminal Procedure (CrPC) pertains to the issuance of search warrants.
94. A contract can be specifically enforced,b,"['a) Where compensation is adequate relief for the non performance of the contract', 'b) where the contract by its nature is determinable', 'c) where it involves the performance of continuous duty which the court cannot supervise', 'd) None of the above']",d) None of the above,"A contract can be specifically enforced when compensation is not an adequate relief, the contract is not determinable, and it doesn't involve the performance of a continuous duty that the court can't supervise."
95. Which condition is not required to be satisfied by an invention to be patentable subject matter under Patent Act,b,"['a) Novelty', 'b) Inventive steps', 'c) Distinctiveness', 'd) Usefulness']",c) Distinctiveness,"Under the Patents Act, an invention to be patentable subject matter needs to satisfy conditions of novelty, inventive step, and usefulness. Distinctiveness is not a criterion for patentability, it's more relevant in the context of trademark law."
96. Which writ is issued by the court to quash the wrongful order of a lower court,d,"['a) Mandamus', 'b) Quo warranto', 'c) Prohibition', 'd) Certiorari']",d) Certiorari,"A writ of certiorari is issued by a superior court to quash the order of a lower court or tribunal, usually on the grounds of excess or lack of jurisdiction, or error of law apparent on the face of the record."
"97. A person cannot be a next friend, a guardian of person if :",a,"['a) He is a minor', 'b) He is an opposite party in the suit', 'c) He has not given consent in writing', 'd) All of the above']",d) All of the above,"All the given options are valid grounds under which a person cannot act as a next friend or guardian. A minor, being a party in the suit, and without giving consent in writing, cannot be appointed as a next friend or guardian of a person."
98. Pakala Narayan Swami Vs Emperor is a leading case on,b,"['a) Dying Declaration', 'b) Confession', 'c) accomplice', 'd) Expert witness']",b) Confession,Pakala Narayan Swami vs Emperor is a leading case concerning the admissibility of confessions under the Indian Evidence Act.
"99. Any person aggrieved by an order made by the Disciplinary Committee of the Bar Council of India U / s 36 or 37 of the Advocates Act , may prefer an appeal to the",b,"['a) High Court', 'b) Supreme Court', 'c) State Government', 'd) Central Government']",b) Supreme Court,"As per Section 38 of the Advocates Act, 1961, any person aggrieved by an order made by the Disciplinary Committee of the Bar Council of India may prefer an appeal to the Supreme Court within sixty days of the date on which the order is communicated to him."
100. The provisions relating to compoundable Offence is provided under Section,b,"['a) 319', 'b) 320', 'c) 265(d)', 'd) 321']",b) 320,"The provisions relating to compoundable offences are provided under Section 320 of the Indian Penal Code. This section deals with offences which can be compounded (i.e., settled) by the parties without the permission of the court."
